FID	P_nm	Lon	Lat
0	BM	107.5405694	29.40692668
1	BTG	118.3449198	31.32351934
2	BWQ	106.4357575	29.83802201
3	CJL	113.1727952	29.48324215
4	CT	106.5928476	29.61587053
5	DMZ	105.2593	28.9678
6	FSB	106.4698596	29.39248748
7	GGS	104.7873675	28.80403813
8	GTQ	98.5967	31.6178
9	HK	116.2273249	29.75907351
10	HLS	110.4333375	31.02942662
11	HMS	116.1350838	29.61077434
12	JJQ	100.5938	26.1838
13	JXHK	118.9496679	32.1780657
14	LJG	104.5783232	28.77597572
15	LK	112.4321	29.9714
16	NJG	111.2536544	30.76671796
17	PS	110.1100691	31.03371592
18	QJDQ	111.4391558	30.39469598
19	QXC	107.4621305	29.80451455
20	SJY	119.7002519	32.30869807
21	SMZ	104.5762847	28.73282797
22	SPY	105.5411636	28.88775219
23	SWB	108.4359702	30.83547407
24	SXC	106.9390064	29.71295298
25	WC	119.9630455	32.00734329
26	WHK	116.9995253	30.48774395
27	XH	113.9469067	30.68029504
28	XJX	105.8347892	28.79869624
29	YJ	115.0123929	30.40628982
30	YLJK	101.8214535	26.61553031
31	YSG	114.2752713	30.54409933
32	YYL	113.0895574	29.40272233
33	ZT	105.8538999	29.01146223
